datetime,temperature_2m,rain,snowfall,windspeed_10m
2024-07-08 00:00:00,13.6,0.0,0.0,5.9
2024-07-08 01:00:00,12.7,0.0,0.0,7.6
2024-07-08 02:00:00,12.4,0.0,0.0,6.2
2024-07-08 03:00:00,12.5,0.0,0.0,6.5
2024-07-08 04:00:00,12.8,0.0,0.0,6.8
2024-07-08 05:00:00,14.5,0.0,0.0,8.3
2024-07-08 06:00:00,16.7,0.0,0.0,6.5
2024-07-08 07:00:00,19.0,0.0,0.0,6.1
2024-07-08 08:00:00,20.9,0.0,0.0,6.2
2024-07-08 09:00:00,22.5,0.0,0.0,5.8
2024-07-08 10:00:00,23.6,0.0,0.0,6.4
2024-07-08 11:00:00,24.2,0.0,0.0,7.3
2024-07-08 12:00:00,24.0,0.0,0.0,4.6
2024-07-08 13:00:00,25.2,0.0,0.0,4.6
2024-07-08 14:00:00,25.3,0.0,0.0,5.5
2024-07-08 15:00:00,25.5,0.0,0.0,3.1
2024-07-08 16:00:00,25.9,0.0,0.0,0.7
2024-07-08 17:00:00,25.5,0.0,0.0,3.4
2024-07-08 18:00:00,23.7,0.0,0.0,8.2
2024-07-08 19:00:00,21.8,0.0,0.0,8.9
2024-07-08 20:00:00,20.4,0.0,0.0,9.7
2024-07-08 21:00:00,19.4,0.0,0.0,6.5
2024-07-08 22:00:00,18.6,0.0,0.0,6.6
2024-07-08 23:00:00,17.5,0.0,0.0,6.9
2024-07-09 00:00:00,17.4,0.0,0.0,6.9
2024-07-09 01:00:00,17.7,0.0,0.0,8.0
2024-07-09 02:00:00,17.2,0.0,0.0,9.4
2024-07-09 03:00:00,16.4,0.0,0.0,7.7
2024-07-09 04:00:00,16.5,0.0,0.0,8.9
2024-07-09 05:00:00,18.0,0.0,0.0,9.2
2024-07-09 06:00:00,20.1,0.0,0.0,8.5
2024-07-09 07:00:00,22.4,0.0,0.0,7.9
2024-07-09 08:00:00,24.7,0.0,0.0,6.7
2024-07-09 09:00:00,26.5,0.0,0.0,7.7
2024-07-09 10:00:00,27.6,0.0,0.0,9.4
2024-07-09 11:00:00,28.7,0.0,0.0,8.5
2024-07-09 12:00:00,29.8,0.0,0.0,9.7
2024-07-09 13:00:00,30.2,0.0,0.0,5.9
2024-07-09 14:00:00,30.5,0.0,0.0,3.2
2024-07-09 15:00:00,31.1,0.0,0.0,2.8
2024-07-09 16:00:00,31.2,0.0,0.0,6.3
2024-07-09 17:00:00,30.0,0.0,0.0,8.0
2024-07-09 18:00:00,28.1,0.0,0.0,13.0
2024-07-09 19:00:00,26.6,0.0,0.0,14.2
2024-07-09 20:00:00,25.2,0.0,0.0,11.3
2024-07-09 21:00:00,24.5,0.0,0.0,11.8
2024-07-09 22:00:00,23.6,0.0,0.0,11.5
2024-07-09 23:00:00,23.1,0.0,0.0,11.8
2024-07-10 00:00:00,22.6,0.0,0.0,10.9
2024-07-10 01:00:00,21.3,0.0,0.0,6.8
2024-07-10 02:00:00,19.8,0.0,0.0,7.0
2024-07-10 03:00:00,20.4,0.0,0.0,6.3
2024-07-10 04:00:00,21.7,0.0,0.0,9.9
2024-07-10 05:00:00,22.9,0.0,0.0,7.8
2024-07-10 06:00:00,24.4,0.0,0.0,7.7
2024-07-10 07:00:00,25.6,0.0,0.0,11.0
2024-07-10 08:00:00,27.2,0.0,0.0,8.8
2024-07-10 09:00:00,28.2,0.0,0.0,8.0
2024-07-10 10:00:00,29.6,0.0,0.0,12.0
2024-07-10 11:00:00,30.7,0.0,0.0,14.1
2024-07-10 12:00:00,28.8,0.0,0.0,15.1
2024-07-10 13:00:00,29.7,0.0,0.0,12.6
2024-07-10 14:00:00,28.7,0.0,0.0,17.3
2024-07-10 15:00:00,27.7,0.3,0.0,14.3
2024-07-10 16:00:00,27.4,0.0,0.0,15.3
2024-07-10 17:00:00,26.8,0.0,0.0,11.2
2024-07-10 18:00:00,25.9,0.0,0.0,5.8
2024-07-10 19:00:00,23.8,0.0,0.0,12.3
2024-07-10 20:00:00,22.8,0.0,0.0,7.6
2024-07-10 21:00:00,21.6,0.0,0.0,6.9
2024-07-10 22:00:00,20.5,0.0,0.0,6.8
2024-07-10 23:00:00,20.0,0.0,0.0,6.7
2024-07-11 00:00:00,19.5,0.0,0.0,8.0
2024-07-11 01:00:00,19.4,0.0,0.0,7.4
2024-07-11 02:00:00,19.2,0.0,0.0,8.9
2024-07-11 03:00:00,18.8,1.0,0.0,5.1
2024-07-11 04:00:00,19.0,0.0,0.0,7.7
2024-07-11 05:00:00,19.7,0.0,0.0,9.9
2024-07-11 06:00:00,20.7,0.0,0.0,11.5
2024-07-11 07:00:00,21.7,0.0,0.0,11.7
2024-07-11 08:00:00,22.7,0.0,0.0,8.4
2024-07-11 09:00:00,23.4,0.1,0.0,6.1
2024-07-11 10:00:00,24.2,0.1,0.0,4.0
2024-07-11 11:00:00,24.8,0.0,0.0,6.1
2024-07-11 12:00:00,25.6,0.0,0.0,6.3
2024-07-11 13:00:00,26.2,0.1,0.0,7.3
2024-07-11 14:00:00,26.5,0.0,0.0,10.4
2024-07-11 15:00:00,27.2,0.0,0.0,10.5
2024-07-11 16:00:00,22.3,0.6,0.0,15.2
2024-07-11 17:00:00,22.9,0.2,0.0,3.0
2024-07-11 18:00:00,22.7,0.0,0.0,6.8
2024-07-11 19:00:00,21.5,0.0,0.0,4.4
2024-07-11 20:00:00,21.0,0.0,0.0,3.6
2024-07-11 21:00:00,19.7,0.0,0.0,4.3
2024-07-11 22:00:00,20.5,0.0,0.0,1.9
2024-07-11 23:00:00,20.1,0.0,0.0,2.3
2024-07-12 00:00:00,19.8,0.0,0.0,2.9
2024-07-12 01:00:00,18.9,0.0,0.0,8.3
2024-07-12 02:00:00,18.6,0.0,0.0,11.5
2024-07-12 03:00:00,18.0,0.0,0.0,10.3
2024-07-12 04:00:00,18.2,0.0,0.0,12.2
2024-07-12 05:00:00,19.2,0.0,0.0,10.1
2024-07-12 06:00:00,20.4,0.0,0.0,7.2
2024-07-12 07:00:00,21.8,0.0,0.0,8.9
2024-07-12 08:00:00,22.9,0.0,0.0,10.6
2024-07-12 09:00:00,23.3,0.1,0.0,14.1
2024-07-12 10:00:00,24.0,0.2,0.0,16.2
2024-07-12 11:00:00,26.3,0.2,0.0,14.2
2024-07-12 12:00:00,21.5,7.6,0.0,11.2
2024-07-12 13:00:00,25.2,0.1,0.0,10.0
2024-07-12 14:00:00,25.4,0.0,0.0,3.6
2024-07-12 15:00:00,23.7,0.8,0.0,4.0
2024-07-12 16:00:00,24.7,0.0,0.0,9.7
2024-07-12 17:00:00,24.7,0.0,0.0,11.3
2024-07-12 18:00:00,23.6,0.0,0.0,11.7
2024-07-12 19:00:00,22.5,0.0,0.0,10.5
2024-07-12 20:00:00,21.9,0.0,0.0,12.1
2024-07-12 21:00:00,21.2,0.0,0.0,13.8
2024-07-12 22:00:00,21.0,0.0,0.0,16.8
2024-07-12 23:00:00,19.5,0.0,0.0,18.4
2024-07-13 00:00:00,17.6,0.0,0.0,19.0
2024-07-13 01:00:00,17.3,0.0,0.0,8.0
2024-07-13 02:00:00,16.5,0.6,0.0,10.7
2024-07-13 03:00:00,15.2,1.2,0.0,13.8
2024-07-13 04:00:00,14.6,0.2,0.0,13.8
2024-07-13 05:00:00,14.6,0.0,0.0,12.8
2024-07-13 06:00:00,15.8,0.0,0.0,12.3
2024-07-13 07:00:00,17.5,0.0,0.0,17.1
2024-07-13 08:00:00,19.0,0.0,0.0,17.0
2024-07-13 09:00:00,20.0,0.0,0.0,17.5
2024-07-13 10:00:00,21.0,0.0,0.0,18.7
2024-07-13 11:00:00,21.9,0.0,0.0,18.8
2024-07-13 12:00:00,23.0,0.0,0.0,19.1
2024-07-13 13:00:00,21.8,0.0,0.0,17.6
2024-07-13 14:00:00,22.1,0.0,0.0,17.9
2024-07-13 15:00:00,22.4,0.0,0.0,16.3
2024-07-13 16:00:00,22.4,0.0,0.0,14.2
2024-07-13 17:00:00,22.0,0.0,0.0,11.5
2024-07-13 18:00:00,20.8,0.0,0.0,8.0
2024-07-13 19:00:00,18.5,0.0,0.0,6.5
2024-07-13 20:00:00,17.2,0.0,0.0,9.0
2024-07-13 21:00:00,16.7,0.0,0.0,7.6
2024-07-13 22:00:00,15.9,0.0,0.0,7.4
2024-07-13 23:00:00,15.2,0.0,0.0,6.4
2024-07-14 00:00:00,14.3,0.0,0.0,6.0
2024-07-14 01:00:00,15.0,0.0,0.0,6.6
2024-07-14 02:00:00,14.5,0.0,0.0,6.4
2024-07-14 03:00:00,13.4,0.0,0.0,6.4
2024-07-14 04:00:00,14.2,0.0,0.0,5.9
2024-07-14 05:00:00,15.5,0.0,0.0,7.6
2024-07-14 06:00:00,17.2,0.0,0.0,6.2
2024-07-14 07:00:00,19.0,0.0,0.0,5.5
2024-07-14 08:00:00,20.6,0.0,0.0,4.2
2024-07-14 09:00:00,21.8,0.0,0.0,5.1
2024-07-14 10:00:00,22.9,0.0,0.0,7.9
2024-07-14 11:00:00,23.5,0.0,0.0,11.2
2024-07-14 12:00:00,23.9,0.0,0.0,11.9
2024-07-14 13:00:00,23.4,0.0,0.0,10.3
2024-07-14 14:00:00,23.9,0.0,0.0,9.7
2024-07-14 15:00:00,24.0,0.0,0.0,11.6
2024-07-14 16:00:00,23.7,0.0,0.0,11.9
2024-07-14 17:00:00,23.3,0.0,0.0,8.3
2024-07-14 18:00:00,22.0,0.0,0.0,3.7
2024-07-14 19:00:00,21.0,0.0,0.0,2.0
2024-07-14 20:00:00,19.2,0.0,0.0,5.2
2024-07-14 21:00:00,18.1,0.0,0.0,6.4
2024-07-14 22:00:00,17.6,0.0,0.0,6.4
2024-07-14 23:00:00,16.6,0.0,0.0,6.5
2024-07-15 00:00:00,16.3,0.0,0.0,6.8
2024-07-15 01:00:00,15.5,0.0,0.0,9.2
2024-07-15 02:00:00,15.1,0.0,0.0,6.8
2024-07-15 03:00:00,15.8,0.0,0.0,5.3
2024-07-15 04:00:00,15.7,0.0,0.0,4.7
2024-07-15 05:00:00,17.5,0.0,0.0,8.5
2024-07-15 06:00:00,19.3,0.0,0.0,6.0
2024-07-15 07:00:00,21.4,0.0,0.0,4.8
2024-07-15 08:00:00,23.2,0.0,0.0,4.8
2024-07-15 09:00:00,24.6,0.0,0.0,4.0
2024-07-15 10:00:00,25.6,0.0,0.0,2.9
2024-07-15 11:00:00,26.4,0.0,0.0,2.8
2024-07-15 12:00:00,27.0,0.0,0.0,2.5
2024-07-15 13:00:00,28.4,0.0,0.0,5.5
2024-07-15 14:00:00,28.5,0.0,0.0,12.9
2024-07-15 15:00:00,27.7,0.0,0.0,14.8
2024-07-15 16:00:00,27.1,0.0,0.0,12.3
2024-07-15 17:00:00,27.4,0.0,0.0,6.3
2024-07-15 18:00:00,25.8,0.0,0.0,10.9
2024-07-15 19:00:00,23.6,0.0,0.0,10.0
2024-07-15 20:00:00,22.9,0.0,0.0,11.8
2024-07-15 21:00:00,22.2,0.0,0.0,12.8
2024-07-15 22:00:00,21.6,0.0,0.0,12.1
2024-07-15 23:00:00,20.9,0.0,0.0,9.3
